NCBI Name
Herbihabitans rhizosphaerae
Kibdelosporangium aridum
Kibdelosporangium banguiense
Kibdelosporangium kanagawaense
Kibdelosporangium lantanae
Kibdelosporangium largum
Kibdelosporangium metalli
Kibdelosporangium philippinense
Kibdelosporangium phytohabitans
Kibdelosporangium rhizosphaerae
Kibdelosporangium rhizovicinum
Kutzneria albida
Kutzneria buriramensis
Kutzneria chonburiensis
Kutzneria kofuensis
Kutzneria viridogrisea
Labedaea rhizosphaerae
Lentzea aerocolonigenes
Lentzea albida
Lentzea albidocapillata
Lentzea atacamensis
Lentzea californiensis
Lentzea cavernae
Lentzea chajnantorensis
Lentzea deserti
Lentzea flava
Lentzea flaviverrucosa
Lentzea flavoverrucoides
Lentzea fradiae
Lentzea guizhouensis
Lentzea isolaginshaensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea nigeriaca
Lentzea pudingi
Lentzea rhizosphaerae
Lentzea roselyniae
Lentzea soli
Lentzea terrae
Lentzea violacea
Lentzea waywayandensis
Lentzea xinjiangensis
Longimycelium tulufanense
Prauserella aidingensis
Prauserella alba
Prauserella coralliicola
Prauserella endophytica
Prauserella flava
Prauserella halophila
Prauserella isguenensis
Prauserella marina
Prauserella muralis
Prauserella oleivorans
Prauserella rugosa
Prauserella salsuginis
Prauserella sediminis
Prauserella shujinwangii
Prauserella soli
Prauseria hordei
Pseudonocardia acaciae
Pseudonocardia adelaidensis
Pseudonocardia ailaonensis
Pseudonocardia alaniniphila
Pseudonocardia alni
Pseudonocardia ammonioxydans
Pseudonocardia antarctica
Pseudonocardia antimicrobica
Pseudonocardia antitumoralis
Pseudonocardia artemisiae
Pseudonocardia asaccharolytica
Pseudonocardia aurantiaca
Pseudonocardia autotrophica
Pseudonocardia babensis
Pseudonocardia bannensis
Pseudonocardia benzenivorans
Pseudonocardia callicarpae
Pseudonocardia carboxydivorans
Pseudonocardia chloroethenivorans
Pseudonocardia compacta
Pseudonocardia cypriaca
Pseudonocardia dioxanivorans
Pseudonocardia endophytica
Pseudonocardia eucalypti
Pseudonocardia fici
Pseudonocardia halophobica
Pseudonocardia hierapolitana
Pseudonocardia hispaniensis
Pseudonocardia hydrocarbonoxydans
Pseudonocardia khuvsgulensis
Pseudonocardia kongjuensis
Pseudonocardia kujensis
Pseudonocardia kunmingensis
Pseudonocardia lutea
Pseudonocardia mangrovi
Pseudonocardia mongoliensis
Pseudonocardia nantongensis
Pseudonocardia nematodicida
Pseudonocardia nigra
Pseudonocardia nitrificans
Pseudonocardia oroxyli
Pseudonocardia parietis
Pseudonocardia petroleophila
Pseudonocardia profundimaris
Pseudonocardia rhizophila
Pseudonocardia salamisensis
Pseudonocardia saturnea
Pseudonocardia sediminis
Pseudonocardia seranimata
Pseudonocardia sichuanensis
Pseudonocardia soli
Pseudonocardia spinosa
Pseudonocardia spinosispora
Pseudonocardia sulfidoxydans
Pseudonocardia tetrahydrofuranoxydans
Pseudonocardia thailandensis
Pseudonocardia thermophila
Pseudonocardia tritici
Pseudonocardia tropica
Pseudonocardia xinjiangensis
Pseudonocardia xishanensis
Pseudonocardia yuanmonensis
Pseudonocardia yunnanensis
Pseudonocardia zijingensis
Saccharomonospora amisosensis
Saccharomonospora azurea
Saccharomonospora colocasiae
Saccharomonospora cyanea
Saccharomonospora glauca
Saccharomonospora guangxiensis
Saccharomonospora halophila
Saccharomonospora iraqiensis
Saccharomonospora marina
Saccharomonospora oceani
Saccharomonospora paurometabolica
Saccharomonospora piscinae
Saccharomonospora saliphila
Saccharomonospora thermoviridis
Saccharomonospora viridis
Saccharomonospora xiaoerkulensis
Saccharomonospora xinjiangensis
Saccharopolyspora antimicrobica
Saccharopolyspora cavernae
Saccharopolyspora cebuensis
Saccharopolyspora dendranthemae
Saccharopolyspora deserti
Saccharopolyspora emeiensis
Saccharopolyspora endophytica
Saccharopolyspora erythraea
Saccharopolyspora flava
Saccharopolyspora gloriosae
Saccharopolyspora gregorii
Saccharopolyspora griseoalba
Saccharopolyspora halophila
Saccharopolyspora halotolerans
Saccharopolyspora hattusasensis
Saccharopolyspora hirsuta
Saccharopolyspora hordei
Saccharopolyspora indica
Saccharopolyspora jiangxiensis
Saccharopolyspora kobensis
